name,ghs
Alto Prado,d9b
Altos de Las Minas,d9b
Altos del Mirador,d9b
Arbolávila,d9b
Arismendi,d9b
Balgres (Hoyo de la Puerta),d9b
Barrialito,d9b
Baruta,d9b
Barutaima,d9b
Ble o Tinoco,d9b
Bosque Avila Villas,d9b
Bosque La Virgen,d9b
Bosque Real,d9b
Bosque los Naranjos,d9b
Brisas del Prado,d9b
C. M. y R. D. San Gabriel,d9b
COLINAS DE LOS RICES 2ª ETAPA,d9b
Camino Real,d9b
Casa de Campo,d9b
Caurimare,d9b
Caurimare Tepuy,d9b
Centro Italo Venezolano,d9b
Cerro Quintero,d9b
Charallavito,d9b
Chuao,d9b
Colina Moser,d9b
Colinas de Bello Monte,d9b
Colinas de Manaure,d9b
Colinas de Tamanaco,d9b
Colinas de Valle Arriba,d9b
Colinas de la Tahona,d9b
Coromoto,d9b
Cumbres de Curumo,d9b
Curumo,d9b
El Cafetal,d9b
El Café,d9b
El Campito,d9b
El Cielito,d9b
El Güire,d9b
El Mirador,d9b
El Morro,d9b
El Peñón,d9b
El Placer,d9b
El Placer de María,d9b
El Refugio,d9b
El Volcán,d9b
Escampadero,d9b
Estancia Anauco,d9b
Francisco Anglade,d9b
Granjerías La Trinidad (Etapa I),d9b
Granjerías La Trinidad (Etapa II),d9b
Granjerías Monte Elena,d9b
Guaicay,d9b
La Alameda,d9b
La Bonita,d9b
La Calera,d9b
La Carolina,d9b
La Ciudadela,d9b
La Eneca (Hoyo de la Puerta),d9b
La Hoyadita,d9b
La Limonera,d9b
La Naya,d9b
La Palomera,d9b
La Peña,d9b
La Planada,d9b
La Tahona,d9b
La Trinidad,d9b
La Unión,d9b
Las Caballerizas,d9b
Las Carolinas,d9b
Las Cocuizas,d9b
Las Cumbres,d9b
Las Esmeraldas,d9b
Las Lomas,d9b
Las Mercedes,d9b
Las Mesetas,d9b
Las Minas,d9b
Las Minitas,d9b
Loma Central y Papelón,d9b
Loma Real,d9b
Lomas de Chuao,d9b
Lomas de Chulavista,d9b
Lomas de La Alameda,d9b
Lomas de Las Mercedes,d9b
Lomas de Maturín,d9b
Lomas de Prados del Este,d9b
Lomas de Terrabella,d9b
Lomas del Club Hípico,d9b
Lomas del Mirador,d9b
Lomita de Chuao,d9b
Lomita de Los Campitos,d9b
Lomita de las Mercedes,d9b
Los Campitos,d9b
Los Guayabitos,d9b
Los Hornitos,d9b
Los Hornitos II,d9b
Los Naranjos de Las Mercedes,d9b
Los Riscos,d9b
Los Samanes,d9b
Luisa Cáceres,d9b
Magnum,d9b
Manzanares,d9b
María Carolina,d9b
Mirador de Los Campitos I,d9b
Mirador de Los Campitos II,d9b
Monte Alto,d9b
Monte Elena,d9b
Monterrey,d9b
Nuevos Desarrollos,d9b
Ojo de Agua,d9b
Parque Humboldt,d9b
Parque Los Guayabitos,d9b
Piedra Azul,d9b
Piedras Azules (H. de la Pta.),d9b
Polifibra,d9b
Prados del Este,d9b
Resto de la Zona Protectora del A.M.C.,d9b
San Andrés,d9b
San Juan,d9b
San Luis,d9b
San Miguel de La Guarita,d9b
San Pedrito,d9b
San Román,d9b
Santa Cruz del Este,d9b
Santa Fe,d9b
Santa Fe Este,d9b
Santa Fe de Los Prados,d9b
Santa Gertrudis,d9b
Santa Inés,d9b
Santa Marta,d9b
Santa Paula,d9b
Santa Rosa de Lima,d9b
Santa Sofía,d9b
Sisipa,d9b
Sorokaima,d9b
Terrazas de Club Hípico,d9b
Terrazas de Santa Inés,d9b
Táchira,d9b
Universidad Simón Bolívar,d9b
Valle Alto,d9b
Valle Arriba,d9b
Vista Ventura,d9b
Vizcaya,d9b
Zona Industrial La Guaírita,d9b
,d9b
